CASE_TYPE_DESC,Application Phase,Inspection Phase,Total
Building Residential - Tenant Finish Out,192.72727272727272,517.9772727272727,710.7045454545455
Building Residential - Shell,147.0,592.0,739.0
Building Commercial - Shell,138.3050847457627,481.0169491525424,619.3220338983051
Building Commercial - New,122.54863813229572,407.3540856031128,529.9027237354086
Building Commercial - Tenant Finish Out,98.87372448979592,307.09438775510205,405.96811224489795
Building Commercial - Structural Frame,92.0,745.5,837.5
Building Commercial - Addition,86.15384615384616,259.7076923076923,345.8615384615385
Building Commercial - Rehab,59.18041871921182,197.6194581280788,256.79987684729065
Building Commercial - Foundation,48.36363636363637,553.3636363636364,601.7272727272727
Building Commercial - Fire Damage,43.611111111111114,304.55555555555554,348.1666666666667
Building Commercial Rehab Storm Damage,38.170731707317074,198.5121951219512,236.6829268292683
Building Residential New Storm Damage,35.74193548387097,253.58064516129033,289.3225806451613
Building Commercial New Storm Damage,34.333333333333336,88.33333333333333,122.66666666666667
Building Residential - Roofing / Siding,27.25,193.25,220.5
Building Residential - New,24.144932470775167,280.59414368403134,304.73907615480647
Building Residential - Addition,14.1,295.85774647887325,309.9577464788732
Building Residential Rehab Storm Damage,13.852459016393443,182.44262295081967,196.29508196721312
Building Commercial - Change Contractor,10.0,145.33333333333334,155.33333333333334
Building Residential - Amend Permit,9.19047619047619,379.6666666666667,388.85714285714283
Building Residential - Rehab,7.684319833852544,236.7601246105919,244.44444444444446
Building Commercial - Roofing / Siding,6.285714285714286,248.42857142857142,254.71428571428572
Building Residential - Change Contractor,6.166666666666667,225.23333333333332,231.4
Building Residential - Fire Damage,5.344827586206897,197.24137931034483,202.58620689655172
Building Residential - Foundation,0.0,504.0,504.0
